localite_auto_ecole,candidats ETG, réussite ETG,nbr_candidats,reussite,
AUTO ECOLE PATOU ANGLE DE LA GRANDE RUE ET DE LA RUE SAINT MARTIN 01270 MARBOZ,182,74.18,121,62.81,
"AUTO ECOLE VEYLE 60, GRANDE - RUE 01290 PONT DE VEYLE",205,65.37,141,63.12,
"AUTO ECOLE BRUN 23, RUE SAINT JEAN 01300 BELLEY",52,42.31,12,58.33,
"AUTO ECOLE BUGGY 102, GRAND-RUE 01300 BELLEY",56,44.64,20,65,
"AUTO ECOLE MALYX 32, RUE DE LA REPUBLIQUE 01300 BELLEY",80,60,42,64.29,
"AUTO ECOLE DU BAS-BUGEY 14, RUE GEORGES GIRERD 01300 BELLEY",311,74.6,191,67.54,
AUTO ECOLE PILOTE RUE DE LA GARE 01310 POLLIAT,52,65.38,23,52.17,
AUTO ECOLE PILOTE BUELLAS 152 CHEMIN NEUF CORGENON 01310 BUELLAS,40,62.5,26,42.31,
AUTO ECOLE ECOLE DE CONDUITE VIP 224 RUE GOMBETTE 01330 AMBERIEU EN DOMBES,48,45.83,22,36.36,
AUTO ECOLE DES DOMBES 25 RUE CARNOT 01330 VILLARS LES DOMBES,45,57.78,30,46.67,
AUTO ECOLE THOMASSON MUZY ECOLE DE CONDUITE 312 RUE DE L'AGRICULTURE 01330 VILLARS LES DOMBES,159,84.91,126,53.17,
AUTO ECOLE ESPACE ZONE ARTISANALE DE MONTREVEL EN BRESSE 01340 MONTREVEL EN BRESSE,87,59.77,64,54.69,
AUTO ECOLE DU CENTRE 3 RUE DES TORTIPIEDS 01340 MONTREVEL EN BRESSE,120,70,67,71.64,
AUTO ECOLE FORMUL AIN 484 GRANDE RUE 01340 ATTIGNAT,153,49.67,83,37.35,
AUTO ECOLE SERGE GOUD PLACE LOUIS MATHIEU 01350 CULOZ,65,44.62,42,71.43,
"AUTO ECOLE ECOLE DE CONDUITE GERARD MICHAUD 9, AVENUE FALCONNIER 01350 CULOZ",95,56.84,63,82.54,
AUTO ECOLE IMOLA 250 LES MILLIERES 01390 SAINT ANDRE DE CORCY,86,61.63,45,60,
AUTO ECOLE DRUGUET 65 RUE BERGERAT 01400 CHATILLON SUR CHALARONNE,72,51.39,31,58.06,
AUTO ECOLE ANNE ROLLET 102 RUE ALPHONSE BAUDIN 01400 CHATILLON SUR CHALARONNE,110,61.82,62,66.13,
AUTO ECOLE PATRICIA 71 RUE DU JURA 01460 MONTREAL LA CLUSE,63,76.19,38,63.16,
AUTO ECOLE LA CLUSE 85 RUE DU JURA 01460 MONTREAL LA CLUSE,124,45.16,68,55.88,
AUTO ECOLE DE SERRIERES 32 A GRANDE RUE 01470 SERRIERES DE BRIORD,57,71.93,31,48.39,
AUTO ECOLE CHANTALE PLUS 295 RUE JEAN MARIE VIANNEY 01480 ARS SUR FORMANS,72,58.33,40,67.5,
"AUTO ECOLE 2020 1218, RUE EDOUARD HERRIOT 01480 JASSANS-RIOTTIER",141,60.28,61,54.1,
AUTO ECOLE C PERMIS RUE HECTOR BERLIOZ 01480 BEAUREGARD,82,74.39,61,47.54,
AUTO ECOLE TCM CENTRE COMMERCIAL 01480 CHALEINS,121,85.95,78,61.54,
AUTO ECOLE DU BUGEY 85 RUE ARISTIDE BRIAND 01500 AMBERIEU EN BUGEY,28,53.57,19,52.63,
"AUTO ECOLE REFLEX 41,AVENUE ROGER SALENGRO 01500 AMBERIEU-EN-BUGEY",64,37.5,29,58.62,
AUTO ECOLE 1500 56 AVENUE ROGER SALENGRO 01500 AMBERIEU EN BUGEY,53,47.17,29,51.72,
AUTO ECOLE A VOUS DE CONDUIRE 8 AVENUE DU GENERAL SARRAIL 01500 AMBERIEU EN BUGEY,108,79.63,66,53.03,
AUTO ECOLE ECF AGENCE ALEXANDRE BERARD 101 RUE ALEXANDRE BERARD 01500 AMBERIEU EN BUGEY,131,74.05,80,71.25,
